"","year","month","day","n"
"233",2014,4,1,27
"234",2014,4,2,13
"235",2014,4,3,3
"236",2014,4,4,8
"237",2014,4,5,111
"238",2014,4,6,121
"239",2014,4,7,30
"240",2014,4,8,47
"241",2014,4,9,68
"242",2014,4,10,54
"243",2014,4,11,249
"244",2014,4,12,284
"245",2014,4,13,75
"246",2014,4,14,6
"247",2014,4,15,3
"248",2014,4,16,38
"249",2014,4,17,141
"250",2014,4,18,99
"251",2014,4,19,204
"252",2014,4,20,332
"253",2014,4,21,103
"254",2014,4,22,41
"255",2014,4,23,43
"256",2014,4,24,54
"257",2014,4,25,179
"258",2014,4,26,156
"259",2014,4,27,73
"260",2014,4,28,15
"261",2014,4,29,50
"262",2014,4,30,26
"263",2014,5,1,8
"264",2014,5,2,69
"265",2014,5,3,341
"266",2014,5,4,132
"267",2014,5,5,62
"268",2014,5,6,90
"269",2014,5,7,96
"270",2014,5,8,208
"271",2014,5,9,88
"272",2014,5,10,389
"273",2014,5,11,255
"274",2014,5,12,160
"275",2014,5,13,57
"276",2014,5,14,72
"277",2014,5,15,34
"278",2014,5,16,18
"279",2014,5,17,187
"280",2014,5,18,264
"281",2014,5,19,143
"282",2014,5,20,246
"283",2014,5,21,251
"284",2014,5,22,164
"285",2014,5,23,212
"286",2014,5,24,317
"287",2014,5,25,434
"288",2014,5,26,262
"289",2014,5,27,148
"290",2014,5,28,121
"291",2014,5,29,215
"292",2014,5,30,258
"293",2014,5,31,392
"294",2014,6,1,352
"295",2014,6,2,158
"296",2014,6,3,294
"297",2014,6,4,38
"298",2014,6,5,224
"299",2014,6,6,311
"300",2014,6,7,346
"301",2014,6,8,185
"302",2014,6,9,218
"303",2014,6,10,18
"304",2014,6,11,82
"305",2014,6,12,138
"306",2014,6,13,130
"307",2014,6,14,473
"308",2014,6,15,343
"309",2014,6,16,269
"310",2014,6,17,179
"311",2014,6,18,100
"312",2014,6,19,166
"313",2014,6,20,212
"314",2014,6,21,186
"315",2014,6,22,437
"316",2014,6,23,164
"317",2014,6,24,144
"318",2014,6,25,178
"319",2014,6,26,208
"320",2014,6,27,292
"321",2014,6,28,398
"322",2014,6,29,415
"323",2014,6,30,47
"324",2014,7,1,186
"325",2014,7,2,66
"326",2014,7,3,130
"327",2014,7,4,516
"328",2014,7,5,466
"329",2014,7,6,441
"330",2014,7,7,307
"331",2014,7,8,198
"332",2014,7,9,195
"333",2014,7,10,378
"334",2014,7,11,323
"335",2014,7,12,211
"336",2014,7,13,495
"337",2014,7,14,182
"338",2014,7,15,193
"339",2014,7,16,281
"340",2014,7,17,251
"341",2014,7,18,246
"342",2014,7,19,511
"343",2014,7,20,384
"344",2014,7,21,165
"345",2014,7,22,168
"346",2014,7,23,76
"347",2014,7,24,237
"348",2014,7,25,216
"349",2014,7,26,322
"350",2014,7,27,420
"351",2014,7,28,260
"352",2014,7,29,209
"353",2014,7,30,185
"354",2014,7,31,314
"355",2014,8,1,271
"356",2014,8,2,551
"357",2014,8,3,385
"358",2014,8,4,235
"359",2014,8,5,271
"360",2014,8,6,314
"361",2014,8,7,248
"362",2014,8,8,284
"363",2014,8,9,412
"364",2014,8,10,385
"365",2014,8,11,268
"366",2014,8,12,74
"367",2014,8,13,310
"368",2014,8,14,246
"369",2014,8,15,322
"370",2014,8,16,379
"371",2014,8,17,255
"372",2014,8,18,221
"373",2014,8,19,149
"374",2014,8,20,198
"375",2014,8,21,59
"376",2014,8,22,181
"377",2014,8,23,232
"378",2014,8,24,136
"379",2014,8,25,135
"380",2014,8,26,142
"381",2014,8,27,172
"382",2014,8,28,161
"383",2014,8,29,171
"384",2014,8,30,384
"385",2014,8,31,340
"386",2014,9,1,362
"387",2014,9,2,147
"388",2014,9,3,150
"389",2014,9,4,93
"390",2014,9,5,74
"391",2014,9,6,420
"392",2014,9,7,277
"393",2014,9,8,166
"394",2014,9,9,131
"395",2014,9,10,42
"396",2014,9,11,69
"397",2014,9,12,14
"398",2014,9,13,183
"399",2014,9,14,270
"400",2014,9,15,82
"401",2014,9,16,99
"402",2014,9,17,108
"403",2014,9,18,156
"404",2014,9,19,212
"405",2014,9,20,246
"406",2014,9,21,172
"407",2014,9,22,122
"408",2014,9,23,152
"409",2014,9,24,39
"410",2014,9,25,139
"411",2014,9,26,192
"412",2014,9,27,383
"413",2014,9,28,296
"414",2014,9,29,108
"415",2014,9,30,36
"416",2014,10,1,107
"417",2014,10,2,74
"418",2014,10,3,32
"419",2014,10,4,34
"420",2014,10,5,144
"421",2014,10,6,78
"422",2014,10,7,69
"423",2014,10,8,117
"424",2014,10,9,69
"425",2014,10,10,94
"426",2014,10,11,284
"427",2014,10,12,172
"428",2014,10,13,93
"429",2014,10,14,11
"430",2014,10,15,16
"431",2014,10,16,43
"432",2014,10,17,111
"433",2014,10,18,82
"434",2014,10,19,163
"435",2014,10,20,90
"436",2014,10,21,30
"437",2014,10,22,38
"438",2014,10,23,48
"439",2014,10,24,94
"440",2014,10,25,332
"441",2014,10,26,258
"442",2014,10,27,151
"443",2014,10,28,9
"444",2014,10,29,8
"445",2014,10,30,77
"446",2014,10,31,8
"447",2014,11,1,48
"448",2014,11,2,77
"449",2014,11,3,45
"450",2014,11,4,21
"451",2014,11,5,56
"452",2014,11,6,11
"453",2014,11,7,36
"454",2014,11,8,73
"455",2014,11,9,43
"456",2014,11,10,54
"457",2014,11,11,3
"458",2014,11,12,3
"459",2014,11,13,5
"460",2014,11,14,2
"461",2014,11,15,34
"462",2014,11,16,7
"463",2014,11,17,3
"464",2014,11,18,2
"465",2014,11,19,10
"466",2014,11,20,2
"467",2014,11,21,2
"468",2014,11,22,25
"469",2014,11,23,22
"470",2014,11,25,13
"471",2014,11,27,10
"472",2014,11,28,2
"473",2014,11,29,87
"474",2014,11,30,36
"475",2014,12,1,2
"476",2014,12,2,7
