"","year","month","day","n"
"233",2014,4,6,111
"234",2014,4,7,30
"235",2014,4,8,40
"236",2014,4,9,73
"237",2014,4,10,48
"238",2014,4,11,269
"239",2014,4,12,322
"240",2014,4,13,77
"241",2014,4,14,5
"242",2014,4,15,1
"243",2014,4,16,22
"244",2014,4,17,130
"245",2014,4,18,84
"246",2014,4,19,234
"247",2014,4,20,350
"248",2014,4,21,100
"249",2014,4,22,54
"250",2014,4,23,49
"251",2014,4,24,36
"252",2014,4,25,157
"253",2014,4,26,168
"254",2014,4,27,54
"255",2014,4,28,10
"256",2014,4,29,46
"257",2014,4,30,17
"258",2014,5,1,7
"259",2014,5,2,44
"260",2014,5,3,327
"261",2014,5,4,128
"262",2014,5,5,61
"263",2014,5,6,81
"264",2014,5,7,84
"265",2014,5,8,197
"266",2014,5,9,74
"267",2014,5,10,415
"268",2014,5,11,275
"269",2014,5,12,140
"270",2014,5,13,52
"271",2014,5,14,69
"272",2014,5,15,35
"273",2014,5,16,17
"274",2014,5,17,206
"275",2014,5,18,350
"276",2014,5,19,162
"277",2014,5,20,224
"278",2014,5,21,267
"279",2014,5,22,159
"280",2014,5,23,207
"281",2014,5,24,370
"282",2014,5,25,461
"283",2014,5,26,323
"284",2014,5,27,141
"285",2014,5,28,94
"286",2014,5,29,228
"287",2014,5,30,252
"288",2014,5,31,398
"289",2014,6,1,359
"290",2014,6,2,152
"291",2014,6,3,283
"292",2014,6,4,35
"293",2014,6,5,214
"294",2014,6,6,346
"295",2014,6,7,392
"296",2014,6,8,236
"297",2014,6,9,204
"298",2014,6,10,24
"299",2014,6,11,80
"300",2014,6,12,129
"301",2014,6,13,180
"302",2014,6,14,529
"303",2014,6,15,401
"304",2014,6,16,269
"305",2014,6,17,172
"306",2014,6,18,113
"307",2014,6,19,153
"308",2014,6,20,208
"309",2014,6,21,325
"310",2014,6,22,458
"311",2014,6,23,157
"312",2014,6,24,129
"313",2014,6,25,178
"314",2014,6,26,216
"315",2014,6,27,326
"316",2014,6,28,386
"317",2014,6,29,463
"318",2014,6,30,72
"319",2014,7,1,229
"320",2014,7,2,121
"321",2014,7,3,180
"322",2014,7,4,506
"323",2014,7,5,510
"324",2014,7,6,417
"325",2014,7,7,314
"326",2014,7,8,186
"327",2014,7,9,247
"328",2014,7,10,379
"329",2014,7,11,336
"330",2014,7,12,233
"331",2014,7,13,480
"332",2014,7,14,182
"333",2014,7,15,178
"334",2014,7,16,280
"335",2014,7,17,241
"336",2014,7,18,227
"337",2014,7,19,532
"338",2014,7,20,385
"339",2014,7,21,216
"340",2014,7,22,174
"341",2014,7,23,88
"342",2014,7,24,225
"343",2014,7,25,219
"344",2014,7,26,368
"345",2014,7,27,446
"346",2014,7,28,258
"347",2014,7,29,206
"348",2014,7,30,202
"349",2014,7,31,307
"350",2014,8,1,306
"351",2014,8,2,559
"352",2014,8,3,399
"353",2014,8,4,253
"354",2014,8,5,234
"355",2014,8,6,300
"356",2014,8,7,238
"357",2014,8,8,288
"358",2014,8,9,448
"359",2014,8,10,378
"360",2014,8,11,254
"361",2014,8,12,106
"362",2014,8,13,299
"363",2014,8,14,238
"364",2014,8,15,351
"365",2014,8,16,377
"366",2014,8,17,262
"367",2014,8,18,224
"368",2014,8,19,136
"369",2014,8,20,201
"370",2014,8,21,52
"371",2014,8,22,180
"372",2014,8,23,225
"373",2014,8,24,178
"374",2014,8,25,127
"375",2014,8,26,137
"376",2014,8,27,173
"377",2014,8,28,171
"378",2014,8,29,181
"379",2014,8,30,399
"380",2014,8,31,406
"381",2014,9,1,331
"382",2014,9,2,154
"383",2014,9,3,154
"384",2014,9,4,88
"385",2014,9,5,84
"386",2014,9,6,440
"387",2014,9,7,313
"388",2014,9,8,160
"389",2014,9,9,124
"390",2014,9,10,42
"391",2014,9,11,59
"392",2014,9,12,12
"393",2014,9,13,175
"394",2014,9,14,271
"395",2014,9,15,72
"396",2014,9,16,85
"397",2014,9,17,100
"398",2014,9,18,154
"399",2014,9,19,209
"400",2014,9,20,228
"401",2014,9,21,163
"402",2014,9,22,111
"403",2014,9,23,143
"404",2014,9,24,87
"405",2014,9,25,120
"406",2014,9,26,175
"407",2014,9,27,401
"408",2014,9,28,299
"409",2014,9,29,127
"410",2014,9,30,58
"411",2014,10,1,100
"412",2014,10,2,68
"413",2014,10,3,15
"414",2014,10,4,27
"415",2014,10,5,128
"416",2014,10,6,73
"417",2014,10,7,50
"418",2014,10,8,100
"419",2014,10,9,71
"420",2014,10,10,73
"421",2014,10,11,306
"422",2014,10,12,143
"423",2014,10,13,61
"424",2014,10,14,7
"425",2014,10,15,14
"426",2014,10,16,42
"427",2014,10,17,107
"428",2014,10,18,69
"429",2014,10,19,157
"430",2014,10,20,97
"431",2014,10,21,26
"432",2014,10,22,34
"433",2014,10,23,36
"434",2014,10,24,87
"435",2014,10,25,370
"436",2014,10,26,240
"437",2014,10,27,155
"438",2014,10,28,28
"439",2014,10,29,12
"440",2014,10,30,59
"441",2014,10,31,7
"442",2014,11,1,32
"443",2014,11,2,68
"444",2014,11,3,44
"445",2014,11,4,13
"446",2014,11,5,53
"447",2014,11,6,11
"448",2014,11,7,32
"449",2014,11,8,70
"450",2014,11,9,29
"451",2014,11,10,53
"452",2014,11,11,6
"453",2014,11,12,1
"454",2014,11,13,4
"455",2014,11,14,2
"456",2014,11,15,23
"457",2014,11,16,5
"458",2014,11,17,2
"459",2014,11,18,2
"460",2014,11,19,6
"461",2014,11,20,2
"462",2014,11,21,1
"463",2014,11,22,16
"464",2014,11,23,17
"465",2014,11,25,8
"466",2014,11,26,1
"467",2014,11,27,8
"468",2014,11,28,2
"469",2014,11,29,88
"470",2014,11,30,26
"471",2014,12,1,3
"472",2014,12,2,4
"473",2014,12,3,10
"474",2014,12,4,2
"475",2014,12,5,5
"476",2014,12,6,15
"477",2014,12,7,3
"478",2014,12,9,1
"479",2014,12,10,4
"480",2014,12,11,4
"481",2014,12,12,5
"482",2014,12,13,30
"483",2014,12,14,54
"484",2014,12,15,9
"485",2014,12,16,6
"486",2014,12,17,7
"487",2014,12,18,8
"488",2014,12,19,2
"489",2014,12,20,24
"490",2014,12,21,17
"491",2014,12,22,5
"492",2014,12,23,19
"493",2014,12,24,1
"494",2014,12,25,54
"495",2014,12,26,102
"496",2014,12,27,20
"497",2014,12,28,52
"498",2014,12,29,16
"499",2014,12,30,11
"500",2014,12,31,4
"501",2015,1,1,21
"502",2015,1,2,20
"503",2015,1,3,8
"504",2015,1,4,3
